번호	문제	정답	선지1	선지2	선지3
82	\((+0.25) × \bigg(- $16 \over 9 $ \bigg) × \bigg(+ $6 \over 5 $ \bigg)	\(- $8 \over 15 $	\(- $4 \over 15 $	\(+ $4 \over 15 $	\(+ $8 \over 15 $
83	\(\bigg(+ $8 \over 3 $ \bigg) × (+9) × \bigg(+ $9 \over 4 $ \bigg) × \bigg(+ $7 \over 6 $ \bigg)	\(+63	\(-21	\(-7	\(+216
84	\(\bigg(+ $1 \over 3 $ \bigg) × \bigg(+ $5 \over 4 $ \bigg) × \bigg(+ $9 \over 2 $ \bigg)	\(+ $15 \over 8 $	\(- $15 \over 8 $	\(- $7 \over 8 $	\(+ $7 \over 8 $
85	\(\bigg(- $8 \over 5 $ \bigg) × (+7) × \bigg(- $5 \over 4 $ \bigg)	\(+14	\(-14	\(- $7 \over 5 $	\(+ $12 \over 5 $
86	\((-12) × \bigg(- $1 \over 7 $ \bigg) × \bigg(- $5 \over 6 $ \bigg)	\(- $10 \over 7 $	\(- $12 \over 7 $	\(+ $10 \over 7 $	\(+ $12 \over 7 $
87	\(\bigg(+ $2 \over 3 $ \bigg) × \bigg(+ $3 \over 4 $ \bigg) × \bigg(- $3 \over 2 $ \bigg)	\(- $3 \over 4 $	\(- $5 \over 4 $	\(+ $3 \over 4 $	\(+ $5 \over 4 $
88	\(\bigg(+ $3 \over 5 $ \bigg) × \bigg(+ $4 \over 7 $ \bigg) × \bigg(- $6 \over 5 $ \bigg)	\(- $8 \over 7 $	\(- $6 \over 7 $	\(+ $6 \over 7 $	\(+ $8 \over 7 $
89	\(\bigg(+ $4 \over 5 $ \bigg) × \bigg(- $3 \over 2 $ \bigg) × \bigg(+ $5 \over 6 $ \bigg)	\(-1	\(- $5 \over 6 $	\(+ $5 \over 6 $	\(+1
90	\(\big(+0.4) × (-1.7) × (-25)	\(+17	\(-17	\(-9	\(+13
91	\((+1.25) × \bigg(- $5 \over 3 $ \bigg) × (+8)	\(- $50 \over 3 $	\(- $25 \over 3 $	\(+ $50 \over 3 $	\(+ $100 \over 3 $
92	\(\bigg(+ $3 \over 2 $ \bigg) × (-8) × \bigg(- $5 \over 2 $ \bigg)	\(+30	\(-30	\(- $8 \over 3 $	\(+ $5 \over 2 $
93	\((-5) × (+1.5) × \bigg(+ $16 \over 5 $ \bigg)	\(-24	\(-24	\(-12	\(+12
94	\(\bigg(- $5 \over 3 $ \bigg) × \bigg(+ $6 \over 5 $ \bigg) × \bigg(+ $1 \over 2 $ \bigg)	\(-1	\(- $4 \over 3 $	\(+1	\(+ $5 \over 3 $
95	\((+8) × \bigg(+ $25 \over 6 $ \bigg) × \bigg(- $18 \over 5 $ \bigg) × \bigg(- $2 \over 3 $ \bigg)	\(+80	\(-80	\(- $8 \over 5 $	\(+120
96	\(\bigg(+ $12 \over 7 $ \bigg) × \bigg(- $21 \over 4 $ \bigg) × (+2.5) × \bigg(+ $4 \over 5 $ \bigg)	\(-18	\(-9	\(+18	\(+32
97	\((-14) × \bigg(+ $5 \over 6 $ \bigg) × \bigg(- $8 \over 21 $ \bigg) × \bigg(- $7 \over 4 $ \bigg)	\(- $70 \over 9 $	\(- $80 \over 9 $	\(- $50 \over 9 $	\(+ $50 \over 9 $
98	\(\bigg(- $4 \over 3 $ \bigg) × (-6) × (+4)	\(+32	\(-48	\(+32	\(+48
99	\(\bigg(- $5 \over 2 $ \bigg) × (-8) × (+3)	\(+60	\(-60	\(-32	\(+32
100	\((-6) × \bigg(- $7 \over 6 $ \bigg) × (+4)	\(+28	\(-14	\(-7	\(+7
101	\(6 × \bigg($1 \over 3 $ + $1 \over 2 $ \bigg)	5	\($6 \over 5 $	12	18
102	\(\bigg($1 \over 3 $ + $1 \over 2 $ \bigg) × 6 	5	\($6 \over 5$	12	18
103	\(\bigg($1 \over 2 $ - $1 \over 3 $ \bigg) × 12 	2	4	6	12
104	\(12 × \bigg($1 \over 2 $ - $1 \over 3 $ \bigg) 	2	4	6	12
105	\(24 × \bigg($7 \over 8 $ + $5 \over 12 $ \bigg)	31	2	3	7
106	\(\bigg($7 \over 8 $ + $5 \over 12 $ \bigg) × 24  	31	2	3	7
107	\(12 × \bigg($7 \over 3 $ - $5 \over 4 $ \bigg)	13	1	3	4
108	\(\bigg($7 \over 3 $ - $5 \over 4 $ \bigg) × 12 	13	1	3	4
109	\((-30) × \bigg($3 \over 5 $ - $1 \over 6 $\bigg)	\(-23	\(-6	\(-5	\(-3
110	\(\bigg($3 \over 5 $ - $1 \over 6 $\bigg) × (-30) 	\(-23	\(-6	\(-5	\(-3
111	\(\bigg($9 \over 4 $ - $4 \over 9 $ \bigg) × 36 	65	4	9	12
112	\(36 × \bigg($9 \over 4 $ - $4 \over 9 $ \bigg)  	65	4	9	12
113	\(\bigg(3 - $11 \over 7 $\bigg) × (-14) 	\(-20	\(-18	\(-16	\(-14
114	\((-14) × \bigg(3 - $11 \over 7 $\bigg) 	\(-20	\(-18	\(-16	\(-14
115	\(1.27 × 45 + 1.27 × 55	127	12.7	1270	12700
116	\(4.5 × 1.27 + 55 × 1.27	127	12.7	1270	12700
117	\(28 × 337 - 18 × 337	3370	33.7	337	33700
118	\(337 × 28 - 337 × 18	3370	33.7	337	33700
119	\(17 × 78 + 17 × 22	1700	1666	170	166
120	\(78 × 17 + 22 × 17	1700	1666	170	166
121	\(117 × 39 - 17 × 39	3900	5226	1300	390
122	\(39 × 117 - 39 × 17	3900	5226	1300	390
123	\(37 × $25 \over 7 $ - 2 × $25 \over 7 $	125	75	750	1250
124	\($25 \over 7 $ × 37 - $25 \over 7 $ × 2	125	75	750	1250
125	\(8 × (100 + 4)	832	768	800	3200
126	\((100 + 4) × 8	832	768	800	3200
127	\(17 × (100 + 2)	1734	1034	1666	1700
128	\((100 + 2) × 17	1734	1034	1666	1700
129	\(30 × \bigg($5 \over 6 $ - $2 \over 5 $\bigg) 	13	5	6	9
130	\(\bigg($5 \over 6 $ - $2 \over 5 $\bigg) × 30	13	5	6	9
131	\((100 + 1) × 27	2727	2600	2673	2700
132	\(27 × (100 + 1)	2727	2600	2673	2700
133	\((100 + 3) × 13	1339	1300	1313	1326
134	\(13 × (100 + 3)	1339	1300	1313	1326
135	\(\bigg($3 \over 4 $ - $1 \over 5 $\bigg) × 20	11	4	5	\($20 \over 9 $
136	\(20 × \bigg($3 \over 4 $ - $1 \over 5 $\bigg)	11	4	5	\($20 \over 9 $
137	\(37 × 99 × + 37 × 1	3700	\(-37	37	370
138	\(99 × 37 + 1 × 37	3700	\(-37	37	370
139	\(1.23 × 99 + 1.23 × 1	123	1.23	12.3	1230
140	\(99 × 1.23 + 1 × 1.23	123	1.23	12.3	1230
141	\(1.2 × 54 + 1.2 × 46	120	1.2	12	1200
142	\(54 × 1.2 + 46 × 1.2	120	1.2	12	1200
143	\(3.21 × 54 + 3.21 × 46	321	3.21	32.1	3210
144	\(54 × 3.21 + 46 × 3.21	321	3.21	32.1	3210
145	\(26 × (-11) + 74 × (-11)	\(-1100	\(-110	110	1100
146	\((-11) × 26 + (-11) × 74	\(-1100	\(-110	110	1100
147	\(102 × 2.97 - 2 × 2.97	297	0.297	2.97	29.7
148	\(2.97 × 102 - 2.97 × 2	297	0.297	2.97	29.7
149	\($1 \over 4 $ × 3.7 + $3 \over 4 $ × 3.7	3.7	0.37	37	370
150	\(3.7 × $1 \over 4 $ + 3.7 × $3 \over 4 $	3.7	0.37	37	370
151	\((+12) ÷ (+3)	4	\(-4	\(-3	3
152	\((-12) ÷ (-3)	4	\(-15	-4	9
153	\((+12) ÷ (-3)	\(-4	\(-3	3	4
154	\((-12) ÷ (+3)	\(-4	\(-9	4	15
155	\(0 ÷ (+3)	0	6	3	\(-3
156	\(0 ÷ (-3)	0	6	3	\(-3
157	\((+15) ÷ (+3)	5	3	\(-3	\(-5
158	\((+24) ÷ (-6)	\(-4	\(-3	3	4
159	\((-24) ÷ (+8)	\(-3	\(-4	3	4
160	\((-48) ÷ (-3)	16	\(-45	\(-16	45
161	\((+36) ÷ (-12)	\(-3	\(-48	6	24
162	\(0 ÷ (-4)	0	\(-4	\(-3	4
163	\((+3) ÷ (+9)	\(+ $1 \over 3 $	\(+ $2 \over 3 $	\(- $1 \over 3 $	\(- $2 \over 3 $
164	\((+3) ÷ \bigg(- $4 \over 3 $\bigg)	\(-6	\(- $32 \over 3 $	6	\(+ $32 \over 3 $
165	\((-8) ÷ (-20)	\(+ $2 \over 5 $	\(- $2 \over 5 $	\(- $1 \over 5 $	\(+ $1 \over 5 $
166	\((-27) ÷ (+12)	\(- $9 \over 4 $	\(- $7 \over 4 $	\(+ $7 \over 4 $	\(+ $9 \over 4 $
167	\((+10) ÷ (-24)	\(- $5 \over 12 $	\(- $11 \over 12 $	\(+ $5 \over 12 $	\(+ $11 \over 12 $
168	\((+3) ÷ \bigg(+ $12 \over 5 $\bigg)	\(+ $5 \over 4 $	\(- $36 \over 5 $	\(- $5 \over 4 $	\(+ $36 \over 5 $
169	\((-12) ÷ \bigg(- $4 \over 15 $\bigg)	45	+ $16 \over 5$	- $16 \over 5$	-45
170	\((-30) ÷ \bigg(- $6 \over 7 $\bigg)	\(-35	\(- $180 \over 7 $	\(+ $180 \over 7 $	35
171	\(\bigg(- $2 \over 3 $\bigg) ÷ \bigg(- $8 \over 9 $\bigg)	\(- $3 \over 4 $	\(- $16 \over 27 $	\(+ $3 \over 4 $	\(+ $16 \over 27 $
172	\(\bigg(+ $5 \over 4 $\bigg) ÷ \bigg(- $15 \over 16 $\bigg)	\(- $3 \over 4 $	\(- $2 \over 3 $	\(+ $2 \over 3 $	\(+ $3 \over 4 $
173	\(\bigg(- $4 \over 5 $\bigg) ÷ (- 8)	\(+ $1 \over 10 $	\(- $32 \over 5 $	\(- $1 \over 10 $	\(+ $32 \over 5 $
174	\(\bigg(+ $8 \over 3 $\bigg) ÷ \bigg(+ $2 \over 3 $\bigg)	4	\(- $16 \over 9 $	\(-4	\(+ $16 \over 9 $
175	\(\bigg(- $7 \over 12 $\bigg) ÷ (- 0.75)	\(+ $7 \over 9 $	\(- $7 \over 9 $	\(- $5 \over 9 $	\(+ $5 \over 9 $
176	\((+ 1.25) ÷ \bigg(- $5 \over 8 $\bigg)	\(-2	\(-1	1	2
177	\((+6) ÷ (+2)	3	\(-12	\(-3	12
178	\((-6) ÷ (-2)	3	\(-12	\(-3	12
179	\((+6) ÷ (-2)	\(-3	\(-4	3	4
180	\((-6) ÷ (+2)	\(-3	\(-4	3	4
181	\((+12) ÷ (+3)	4	\(-4	\(-3	3
182	\((-12) ÷ (-3)	4	\(-4	\(-3	3
183	\((+12) ÷ (-3)	\(-4	\(-9	9	4
184	\((-12) ÷ (+3)	\(-4	\(-9	9	4
185	\((+16) ÷ (+8)	2	\(-24	\(-8	8
186	\((-16) ÷ (-8)	2	\(-24	\(-8	8
187	\((+16) ÷ (-8)	\(-2	\(-24	8	2
188	\((-16) ÷ (+8)	\(-2	\(-24	8	2
189	\((+25) ÷ (+5)	5	\(-30	\(-5	20
190	\((-25) ÷ (-5)	5	\(-30	\(-5	20
191	\((+25) ÷ (-5)	\(-5	\(-25	5	30
192	\((-25) ÷ (+5)	\(-5	\(-25	5	30
193	\((+3.5) ÷ (+7)	0.5	\(-4.2	\(-0.5	2.8
194	\((-3.5) ÷ (-7)	0.5	\(-2.8	\(-0.5	4.2
195	\((+3.5) ÷ (-7)	\(-0.5	\(-4.2	0.5	-2.8
196	\((-3.5) ÷ (+7)	\(-0.5	\(-2.8	0.5	4.2
197	\(\bigg(+ $1 \over 3 $\bigg) ÷ \bigg(+ $2 \over 9 $\bigg)	\(+ $3 \over 2 $	\(- $2 \over 27 $	\(- $3 \over 2 $	\(+ $2 \over 27 $
198	\(\bigg(+ $1 \over 3 $\bigg) ÷ \bigg(- $2 \over 9 $\bigg)	\(- $3 \over 2 $	\(- $2 \over 27 $	\(+ $3 \over 2 $	\(+ $2 \over 27 $
199	\(\bigg(- $12 \over 5 $\bigg) ÷ \bigg(- $3 \over 10 $\bigg)	8	\(- $36 \over 50 $	\(-8	\(+ $36 \over 50 $
200	\(\bigg(- $12 \over 5 $\bigg) ÷ \bigg(+ $3 \over 10 $\bigg)	\(-8	\(- $36 \over 50 $	8	\(+ $36 \over 50 $
201	\((+3) ÷ (-2)^3 × (-12)	\(+ $9 \over 2 $	\(- $9 \over 2 $	\(- $3 \over 2 $	\(+ $3 \over 2 $
202	\((-12) × (+3) ÷ (-2)^3	\(+ $9 \over 2 $	\(- $9 \over 2 $	\(- $3 \over 2 $	\(+ $3 \over 2 $
203	\((+6) ÷ (-3) × (+4)	\(-8	\(-4	4	8
204	\((+4) × (+6) ÷ (-3)	\(-8	\(-4	4	8
205	\(2 ÷ $4 \over 3 $ × 6 	9	\(-9	\(-3	3
206	\(6 × 2 ÷ $4 \over 3 $ 	9	\(-9	\(-3	3
207	\($18 \over 7 $ × \bigg(- $4 \over 3 $\bigg) ÷ 3	\(- $8 \over 7 $	\(- $4 \over 7 $	\(+ $4 \over 7 $	\(+ $8 \over 7 $
208	\(\bigg(- $4 \over 3 $\bigg) ÷ 3 × $18 \over 7 $ 	\(- $8 \over 7 $	\(- $4 \over 7 $	\(+ $4 \over 7 $	\(+ $8 \over 7 $
209	\(\bigg(- $3 \over 4 $\bigg) ÷ \bigg(- $9 \over 2 $\bigg) × 3	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 4 $	\(+ $1 \over 4 $
210	\(3 × \bigg(- $3 \over 4 $\bigg) ÷ \bigg(- $9 \over 2 $\bigg)	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 4 $	\(+ $1 \over 4 $
211	\($12 \over 5 $ × (-8) ÷ \bigg(-  $6 \over 5 $\bigg)	16	\(-24	\(-16	24
212	\((-8) × $12 \over 5 $ ÷ \bigg(- $6 \over 5 $\bigg)  	16	\(-24	\(-16	24
213	\(\bigg(- $9 \over 10 $\bigg) × $2 \over 3 $ ÷ \bigg(- $6 \over 5 $\bigg)	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 5 $	\(+ $1 \over 5 $
214	\($2 \over 3 $ × \bigg(- $9 \over 10 $\bigg) ÷ \bigg(- $6 \over 5 $\bigg)	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 5 $	\(+ $1 \over 5 $
215	\((-2.5) × (-6) ÷ \bigg(- $5 \over 3 $\bigg)	\(-9	\(- $1 \over 3 $	\(+ $1 \over 3 $	9
216	\((-6) × (-2.5) ÷ \bigg(- $5 \over 3 $\bigg) 	\(-9	\(- $1 \over 3 $	\(+ $1 \over 3 $	9
217	\((-24) ÷ $8 \over 5 $ × \bigg(- $1 \over 5 $\bigg)^2	\(- $3 \over 5 $	\(- $1 \over 5 $	\(+ $1 \over 5 $	\(+ $3 \over 5 $
218	\(\bigg(- $1 \over 5 $\bigg)^2 × (-24) ÷ $8 \over 5 $	\(- $3 \over 5 $	\(- $1 \over 5 $	\(+ $1 \over 5 $	\(+ $3 \over 5 $
219	\(\bigg(- $3 \over 2 $\bigg)^3 ÷ 6 × \bigg(- $16 \over 3 $\bigg)	3	\(-6	\(-3	6
220	\(\bigg(- $16 \over 3 $\bigg) × \bigg(- $3 \over 2 $\bigg)^3 ÷ 6	3	\(-6	\(-3	6
221	\($8 \over 5 $ ÷ (-2)^3 x \bigg(-$15 \over 2 $\bigg)	\($3 \over 2 $	\(-$5 \over 2 $	\(-$3 \over 2 $	\($5 \over 2 $
222	\(\bigg(-$15 \over 2 $\bigg) ×  $8 \over 5 $ ÷ (-2)^3	\($3 \over 2 $	\(-$5 \over 2 $	\(-$3 \over 2 $	\($5 \over 2 $
223	\((-14) × \bigg(- $2 \over 7 $\bigg) ÷ \bigg (- $1 \over 3 $ \bigg)^2	36	\(-36	\(-$7 \ove r3 $	\($7 \over 3 $
224	\(\bigg(- $2 \over 7 $\bigg) × (-14) ÷ \bigg(- $1 \over 3 $\bigg)^2	36	\(-36	\(-$7 \over 3 $	\($7 \over 3 $
225	\((-2)^2 × \bigg(- $4 \over 5 $\bigg) ÷ $16 \over 5 $	\($3 \over 2 $	\(-$5 \over 2 $	\(-$3 \over 2 $	\($5 \over 2 $
226	\(\bigg(- $4 \over 5 $\bigg) × (-2)^2 ÷ $16 \over 5 $	\($3 \over 2 $	\(-$5 \over 2 $	\(-$3 \over 2 $	\($5 \over 2 $
227	\(\bigg(- $2 \over 3 $\bigg)^2 ÷ (-8) × \bigg(- $6 \over 5 $\bigg)	\($1 \over 15 $	\(-$1 \over 5 $	\(-$1 \over 15 $	\($1 \over 5 $
228	\(\bigg(- $6 \over 5 $\bigg) × \bigg(- $2 \over 3 $\bigg)^2 × 10 ÷ (-8)	\($1 \over 15 $	\(-$1 \over 5 $	\(-$1 \over 15 $	\($1 \over 5 $
229	\(\bigg(- $5 \over 3 $ \bigg) ÷ \bigg(- $15 \over 7 $\bigg) × 10 ÷ \bigg(- $7 \over 6 $\bigg)	\(-$20 \over 3 $	\(-$14 \over 3 $	\($14 \over 3 $	\($20 \over 3 $
230	\(4 × \bigg(- $9 \over 10 $\bigg) × $2 \over 3 $ ÷ \bigg(- $6 \over 5 $\bigg)	2	-2	\(-$1 \over3 $	\($1 \over 3 $
231	\(\bigg(- $9 \over 10 $\bigg) × 4 × $2 \over 3 $ ÷ \bigg(- $6 \over 5 $\bigg)	2	-2	\(-$1 \over 3 $	\($1 \over 3 $
232	\((-6) × (- $4 \over 9 $) ÷ (-16) ÷ (-1.5)	\($1 \over 9 $	\(-$2 \over 9 $	\(-$1 \over 9 $	\($2 \over 9 $
233	\(\bigg(- $2 \over 5 $\bigg) × \bigg(- $3 \over 2 $\bigg)^2 × 12 ÷ $9 \over 5 $	\(-2	\(-1	1	2
234	\((-2)^3 ÷ (-5)^2 × 15 ÷ \bigg(- $2 \over 5 $\bigg)	12	\(-12	\(-4	6
235	\((-2)^2 × \bigg(- $3 \over 4 $\bigg) ÷ \bigg(- $9 \over 2 $\bigg) × 3	2	\(-2	\(-1	1
236	\(\bigg(- $2 \over 3 $\bigg)^2 ÷ $5 \over 2 $ × \bigg(- $10 \over 3 $\bigg) ÷ (-2)^2	\($2 \over 27 $	\(-$4 \over 27 $	\(-$2 \over 27 $	\($4 \over 27 $
237	\((-2)^3 × \bigg(- $1 \over 6 $\bigg) ÷ (-3)^2 × (-12)	\($2 \over 27 $	\(-$4 \over 27 $	\(-$2 \over 27 $	\($4 \over 27 $
238	\(\bigg(- $15 \over 3 $\bigg)^2 × \bigg($9 \over 10 $\bigg)	\(-$5 \over 2 $	\(-$5 \over 3 $	\($5 \over 3 $	\($5 \over 2 $
