번호	문제	정답	선지1	선지2	선지3		\big
28	\($5 \over 2 $ + (-6) × $7 \over 9 $ + (-2)^2 ÷ 6	\(-$3 \over 2 $	\(-$5 \over 2 $	\($5 \over 2 $	\($5 \over 2 $		
29	\((5 - 27 ÷ 3^2) × (-4)	\(-8	\(-4	4	8		
30	\((-4) × (5 -27 ÷ 3^2)	\(-8	\(-4	4	8		
31	\(\left[5 - \left\{3 - (2 × 3 - 5)\right\}\right] + (-2)	1	\(-2	\(-1	2		
32	\((-2) + \left[5 - \left\{3 - (2 × 3 - 5)\right\}\right]	1	\(-2	\(-1	2		
33	\(5 - \left[\bigg(- $2 \over 3 $\bigg) + \left\{3 - 2^2 × (4 - 3)\right\}\right]	\($20 \over 3 $	6	\($14 \over 3 $	\($1 \over 3 $		
34	\((-5) - \left[5 - \left\{(-4) × 3 - 23\right\}\right]	\(-90	\(-45	35	50		
35	\((-2) - \left[$3 \over 2 $ - \left\{$3 \over 4 $ ÷ \bigg(3 -  $7 \over 2 $\bigg)\right\}\right]	\(-5	\(-$3 \over 2 $	\(-$1 \over 2 $	3		
36	\(2 - \left[(-2) ÷ \bigg(- $1 \over 2 $\bigg) + \left\{3 - 4 ×  $5 \over 6 $\big\right\}\right]	\(-$5 \over 3 $	\(-$1 \over 3 $	\($2 \over 3 $	\($4 \over 3 $		
37	\((-1) - \left[4 - \left\{(-3) × (-4) + (-5)\right\}\right]	2	\(-3	\(-2	3		
38	\(\left[4 - \left\{(-3) × (-4) + (-5)\right\}\right] - (-1)	\(-2	\(-3	2	3		
39	\($1 \over 2 $ + (-1) ÷ \left\{6 -  (-2)^2\right\}	0	\(-$1 \over 2 $	\(-$1 \over 4 $	\($1 \over 2 $		
40	\((-1) ÷ \left\{6 - (-2 )^2\right\} + $1 \over 2 $	0	\(-$1 \over 2 $	\(-$1 \over 4 $	\($1 \over 2 $		
41	\((-7) - \left[(-3) + \left\{1 - 2^2 × (-3)\right\}\right]	\(-17	\(-24	17	24		
42	\($7 \over 3 $ - \left[$2 \over 3 $ + \left\{2 × $4 \over 3 $ -1 - \bigg(- $5 \over 6 $ \bigg) \right\}\right]	\(-$5 \over 6 $ 	\(-$7 \over 6 $ 	\($1 \over 6 $ 	\($5 \over 6 $ 		
43	\(1 - \left[ \bigg(- $3 \over 5 $ \bigg) + \left\{1 - \bigg(- $3 \over 2 $ \bigg)^2 ÷ 18\right\}\right]	\(- $29 \over 40 $	\(- $1 \over 40 $	\(- $3 \over 40 $	\(- $7 \over 40 $		
44	\(6 ÷ \left[\left\{\big(-2) + \bigg( 1 - 3^2 ÷ $7 \over 4 $ \bigg)   \right\}\ - (-3)\right]	\(-$3 \over 8 $ 	\(-$5 \over 8 $	\(-$1 \over 8 $ 	\(-$1 \over 2 $ 		
45	\((-2) X \left[(-2)^3 - \left\{(-1) - 2 ÷ \bigg(- $1 \over 6 $ \bigg )\right\}}\right]	38	\(-12	\(-6	12		
46	\(\left[(-2)^3 - \left\{(-1) - 2 ÷ \bigg(- $1 \over 6 $ \bigg)\right\}\right] × (-2)	38	\(-12	\(-6	12		
47	\(\left[\bigg(- $3 \over 2 $ \bigg ) - (-1)^3 ÷ \left\{5 × (-1)^2 + 6\right\}\right] × 2 - 1	-2	\(-$3 \over 2 $	2	5		
48	\(1 - \left[\bigg(- $3 \over 2 $ \bigg) - (-1)^3 ÷ \left\{5 × (-1)^2 + 6\right\}\right] × 2  	2	\(-2	\(-$3 \over 2 $	5		
49	\((-2) - \left[\left\{5 - 12 ÷ \bigg(- $2 \over 3 $ \bigg)^2\right\} + 24 \right] ÷ 2  	\(-3	-12	3	9		
50	\(\left[\left\{5 - 12 ÷ \bigg(- $2 \over 3 $ \bigg)^2\right\} + 24  \right] ÷ 2 - (-2)   	3	\(-12	\(-3	9		
